function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
CFFTS1,2.220446049250313e-14,2.4223047810003413e-14,2.7250928786253844e-14,2.220446049250313e-14
CFFTS2,2.220446049250313e-14,3.784851220313034e-14,2.7250928786253844e-14,2.220446049250313e-14
CFFTZ,4.440892098500626e-14,8.861598323826249e-14,3.0480668494254293e-14,4.440892098500626e-14
CHECKSUM,2.220446049250313e-14,3.108624468950438e-14,3.256654205567126e-14,2.220446049250313e-14
COMPUTE_INDEXMAP,0.0,0.0,0.0,0.0
COMPUTE_INITIAL_CONDITIONS,0.0,0.0,0.0,0.0
EVOLVE,2.220446049250313e-14,3.108624468950438e-14,3.256654205567126e-14,2.220446049250313e-14
FFT,2.220446049250313e-14,3.784851220313034e-14,2.7250928786253844e-14,2.220446049250313e-14
FFTZ2,4.7369515717340014e-14,5.481367187358497e-14,1.8905793412685592e-14,4.7369515717340014e-14
FFT_INIT,0.0,0.0,0.0,0.0
FT,0.0,0.0,0.0,0.0
ILOG2,1.3664283380001927e-14,2.0898315757650004e-14,1.0449157878825002e-14,1.3664283380001927e-14
IPOW46,0.0,0.0,0.0,0.0
MPI_Alltoall(),2.220446049250313e-14,3.784851220313034e-14,2.7250928786253844e-14,2.220446049250313e-14
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,1.7763568394002505e-14,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Comm_split(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Reduce(),2.220446049250313e-14,3.108624468950438e-14,3.256654205567126e-14,2.220446049250313e-14
SETUP,0.0,0.0,0.0,0.0
SET_CLASS,0.0,2.220446049250313e-14,0.0,0.0
TRANSPOSE2_FINISH,2.220446049250313e-14,3.784851220313034e-14,2.7250928786253844e-14,2.220446049250313e-14
TRANSPOSE2_GLOBAL,2.220446049250313e-14,3.784851220313034e-14,2.7250928786253844e-14,2.220446049250313e-14
TRANSPOSE2_LOCAL,2.220446049250313e-14,3.784851220313034e-14,2.7250928786253844e-14,2.220446049250313e-14
TRANSPOSE_XY_Z,0.0,0.0,0.0,0.0
TRANSPOSE_X_YZ,2.220446049250313e-14,3.108624468950438e-14,3.256654205567126e-14,2.220446049250313e-14
VERIFY,0.0,0.0,0.0,0.0
