function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
BUBBLE,0.0,1.2796260146641187e-14,0.0,0.0
COMM3,1.1941894718657146e-14,4.7362976692168956e-14,3.528621457935859e-14,1.1941894718657146e-14
COMM3_EX,3.045183153257572e-14,9.667248105579594e-15,1.0150610510858574e-14,3.045183153257572e-14
GIVE3,8.593109427181862e-15,5.926907568265024e-14,1.6833142731314608e-14,8.593109427181862e-15
GIVE3_EX,0.0,1.1842378929335004e-14,1.1842378929335004e-14,0.0
INTERP,3.045183153257572e-14,9.667248105579594e-15,1.0150610510858574e-14,3.045183153257572e-14
MG3P,1.7763568394002505e-14,4.314009467114894e-14,0.0,1.7763568394002505e-14
MG_MPI,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,1.6148698540002278e-14,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Irecv(),0.0,6.597594175558527e-14,3.2899066803144445e-14,0.0
MPI_Reduce(),0.0,0.0,0.0,0.0
MPI_Send(),0.0,6.597594175558527e-14,3.2899066803144445e-14,0.0
MPI_Wait(),0.0,6.597594175558527e-14,3.2899066803144445e-14,0.0
NORM2U3,0.0,0.0,0.0,0.0
POWER,0.0,0.0,0.0,0.0
PSINV,1.7763568394002505e-14,1.7763568394002505e-14,0.0,1.7763568394002505e-14
READY,0.0,6.597594175558527e-14,3.2899066803144445e-14,0.0
RESID,1.691768418476429e-14,5.055402097564858e-14,2.5077978909180006e-14,1.691768418476429e-14
RPRJ3,3.045183153257572e-14,9.667248105579594e-15,1.0150610510858574e-14,3.045183153257572e-14
SETUP,0.0,0.0,0.0,0.0
TAKE3,8.593109427181862e-15,5.926907568265024e-14,1.6833142731314608e-14,8.593109427181862e-15
TAKE3_EX,0.0,1.1842378929335004e-14,1.1842378929335004e-14,0.0
ZERO3,7.44023807078639e-15,0.0,1.5138060948284426e-14,7.44023807078639e-15
ZRAN3,0.0,0.0,0.0,0.0
