function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
CG,0.0,0.0,0.0,0.0
CONJ_GRAD,1.1102230246251565e-14,2.220446049250313e-14,5.784846286204763e-14,1.1102230246251565e-14
ICNVRT,6.455073931195685e-14,3.2275369655978425e-14,1.4892678254753735e-14,6.455073931195685e-14
INITIALIZE_MPI,0.0,0.0,0.0,0.0
MAKEA,0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Irecv(),1.0806733623727759e-14,6.142774901908411e-14,3.981428177162859e-14,1.0806733623727759e-14
MPI_Reduce(),0.0,0.0,0.0,0.0
MPI_Send(),1.0806733623727759e-14,6.142774901908411e-14,3.981428177162859e-14,1.0806733623727759e-14
MPI_Wait(),1.0806733623727759e-14,6.142774901908411e-14,3.981428177162859e-14,1.0806733623727759e-14
SETUP_PROC_INFO,0.0,0.0,0.0,0.0
SETUP_SUBMATRIX_INFO,0.0,0.0,0.0,0.0
SPARSE,0.0,0.0,0.0,0.0
SPRNVC,2.5985562907797952e-14,2.9190448999759695e-14,1.6197667545860722e-14,2.5985562907797952e-14
VECSET,2.5985562907797952e-14,2.9190448999759695e-14,1.6197667545860722e-14,2.5985562907797952e-14
